# Exported mask 'geometry' on 23-Jun-2016 09:31:47.000031
# Product name: S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644
# Product file location: /home/dgriffith/Downloads/S2Image/S2A_OPER_PRD_MSIL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.SAFE/S2A_OPER_MTD_SAFL1C_PDMC_20160607T085006_R135_V20160606T081644_20160606T081644.xml

# Wavelength:				443.0	490.0	560.0	665.0	705.0	740.0	783.0	842.0	865.0	945.0	1375.0	1610.0	2190.0	0.0	0.0	0.0	0.0	0.0
# Solar flux:				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B10	B11	B12	sun_zenith	sun_azimuth	view_zenith	view_azimuth	DarkInB8A
13754.5	13406.5	28.369697990009744	-25.617759004081062	1638	1290	1091	927	1131	1897	2154	2091	2331	744	15	1723	956	54.936592	30.732729	5.911104	86.78165	0.0
13755.5	13406.5	28.369797563694107	-25.617758070758356	1638	1300	1084	879	1131	1897	2154	2094	2331	744	15	1723	956	54.936546	30.732632	5.910421	86.76777	0.0
13756.5	13406.5	28.369897137373542	-25.617757137367843	1638	1283	1092	915	1224	1903	2158	2139	2382	744	15	1978	1158	54.9365	30.732536	5.909737	86.75389	0.0
13757.5	13406.5	28.36999671104805	-25.61775620390953	1638	1331	1138	1058	1224	1903	2158	2100	2382	744	15	1978	1158	54.936455	30.73244	5.909054	86.74001	0.0
13758.5	13406.5	28.370096284717622	-25.617755270383412	1666	1350	1175	1107	1356	1943	2148	2072	2406	801	13	2334	1463	54.93641	30.732346	5.9083705	86.726135	0.0
13759.5	13406.5	28.370195858382267	-25.61775433678949	1666	1351	1173	1146	1356	1943	2148	2168	2406	801	13	2334	1463	54.936363	30.73225	5.9076867	86.71226	0.0
13760.5	13406.5	28.37029543204198	-25.617753403127768	1666	1348	1186	1156	1346	1906	2171	2192	2388	801	13	2364	1475	54.936317	30.732153	5.9070034	86.69838	0.0
13761.5	13406.5	28.37039500569676	-25.617752469398237	1666	1363	1165	1087	1346	1906	2171	2115	2388	801	13	2364	1475	54.93627	30.732058	5.90632	86.6845	0.0
13762.5	13406.5	28.37049457934661	-25.617751535600902	1666	1349	1158	1077	1297	1986	2217	2168	2463	801	13	2217	1363	54.936222	30.731962	5.905637	86.67062	0.0
13763.5	13406.5	28.370594152991526	-25.61775060173577	1666	1341	1184	1131	1297	1986	2217	2267	2463	801	13	2217	1363	54.936176	30.731867	5.904953	86.656746	0.0
13764.5	13406.5	28.370693726631508	-25.61774966780283	1631	1366	1174	1091	1332	2020	2281	2113	2441	820	16	2074	1253	54.93613	30.731771	5.9042697	86.64287	0.0
13765.5	13406.5	28.370793300266563	-25.61774873380209	1631	1354	1186	1032	1332	2020	2281	2330	2441	820	16	2074	1253	54.936085	30.731674	5.9035864	86.62899	0.0
13766.5	13406.5	28.37089287389668	-25.617747799733547	1631	1309	1126	903	1240	2209	2534	2526	2798	820	16	1791	904	54.93604	30.731579	5.9029026	86.61511	0.0
13767.5	13406.5	28.37099244752186	-25.617746865597194	1631	1295	1100	839	1240	2209	2534	2609	2798	820	16	1791	904	54.935993	30.731483	5.9022193	86.601234	0.0
13768.5	13406.5	28.37109202114211	-25.617745931393046	1631	1280	1069	795	1027	1991	2162	2159	2298	820	16	1366	634	54.935947	30.731388	5.901536	86.58736	0.0
13769.5	13406.5	28.371191594757423	-25.61774499712109	1631	1261	1026	782	1027	1991	2162	1761	2298	820	16	1366	634	54.9359	30.73129	5.9008527	86.57348	0.0
13770.5	13406.5	28.3712911683678	-25.617744062781334	1621	1270	1052	801	1039	1800	2146	2096	2300	774	12	1297	594	54.935856	30.731195	5.900169	86.5596	0.0
13771.5	13406.5	28.371390741973247	-25.617743128373775	1621	1276	1048	799	1039	1800	2146	2128	2300	774	12	1297	594	54.935806	30.7311	5.8994856	86.54572	0.0
13772.5	13406.5	28.37149031557376	-25.617742193898405	1621	1277	1048	804	1025	1840	2267	2252	2499	774	12	1375	665	54.93576	30.731005	5.8988023	86.531845	0.0
13773.5	13406.5	28.37158988916933	-25.61774125935524	1621	1270	1066	862	1025	1840	2267	2177	2499	774	12	1375	665	54.935715	30.73091	5.8981185	86.51797	0.0
13774.5	13406.5	28.371689462759964	-25.61774032474427	1621	1259	1042	765	933	1682	1917	1647	2085	774	12	1228	591	54.93567	30.730812	5.897435	86.50409	0.0
13775.5	13406.5	28.371789036345668	-25.61773939006549	1621	1244	1020	774	933	1682	1917	1699	2085	774	12	1228	591	54.935623	30.730717	5.896752	86.49021	0.0
13776.5	13406.5	28.371888609926426	-25.617738455318914	1604	1252	1030	818	1004	1560	1749	1638	1782	586	15	1269	782	54.935577	30.730621	5.896068	86.47633	0.0
13777.5	13406.5	28.37198818350225	-25.617737520504534	1604	1277	1026	829	1004	1560	1749	1568	1782	586	15	1269	782	54.93553	30.730526	5.895385	86.462456	0.0
13778.5	13406.5	28.372087757073142	-25.617736585622346	1604	1275	1038	831	953	1479	1686	1582	1837	586	15	1266	662	54.935486	30.73043	5.8947015	86.44858	0.0
